d------rw- student/student   0 unit1exercise1/aufpflumheit/
d----w-r-x student/student   0 unit1exercise1/angehunds/angesitzt/angeschmecken/
d--xr--r-x student/student   0 unit1exercise1/angehunds/angesitzt/aufsetztete/
d--xr-xr-- student/student   0 unit1exercise1/zerfahrer/
d-w-r-xr-x student/student   0 unit1exercise1/angehunds/angesitzt/aufgerennen/
d-w-rw-rw- student/student   0 unit1exercise1/aussetzte/
d-w-rwx--- student/student   0 unit1exercise1/aufpflumheit/ausgekaesen/eingehen/
d-wx---r-x student/student   0 unit1exercise1/angehunds/angesitzt/
d-wxr--r-- student/student   0 unit1exercise1/angehunds/
d-wxrw--wx student/student   0 unit1exercise1/angehunds/angesitzt/auspflums/
dr----xrw- student/student   0 unit1exercise1/angehunds/angesitzt/getrauen/
dr-x----w- student/student   0 unit1exercise1/angekraust/enkatzetete/
dr-x-wxrw- student/student   0 unit1exercise1/angeraucher/
dr-x-wxrwx student/student   0 unit1exercise1/angekraust/geschmecken/
drw---xrw- student/student   0 unit1exercise1/aussetzte/gehundte/
drw-r--r-- student/student   0 unit1exercise1/angehunds/angesitzt/aussetzt/
drw-r-x--x student/student   0 unit1exercise1/enschmeckse/
drw-rw-r-- student/student   0 unit1exercise1/angekraust/
drwx------ student/student   0 unit1exercise1/aufpflumheit/ausgekaesen/
drwxrwx--x student/student   0 unit1exercise1/angetrautest/
drwxrwxr-x student/student   0 unit1exercise1/
