d-----x--- proxy/uucp        0 unit1exercise2/angetrauer/
d----w--wx nobody/news       0 unit1exercise2/zerkatzete/
d---r--rwx lp/news           0 unit1exercise2/einfahren/angesinnte/geklettt/
d--x-w---- proxy/tape        0 unit1exercise2/einfahren/angesinnte/ausfahrse/
d--xr--r-x nobody/floppy     0 unit1exercise2/ausgerauchkeit/aufgeklettkeit/
d--xr--rwx mail/proxy        0 unit1exercise2/angetrauer/ensetzkeit/
d-wxrwx-wx uucp/audio        0 unit1exercise2/aufschmeckst/
dr----x--x uucp/mail         0 unit1exercise2/austrauheit/
dr-x-w---- proxy/mail        0 unit1exercise2/ausgerauchkeit/aufgeklettkeit/einwitzt/
dr-x-w-r-x uucp/proxy        0 unit1exercise2/verhalttete/
dr-xr--r-- mail/news         0 unit1exercise2/ausgerauchkeit/aufgeklettkeit/gesetzer/
dr-xr-x--- proxy/dip         0 unit1exercise2/aufschmeckst/ausgerauchte/
dr-xrw-rw- student/audio     0 unit1exercise2/zerrabarbt/
drw---xrw- nobody/uucp       0 unit1exercise2/ausgerauchkeit/
drw--w-rw- nobody/news       0 unit1exercise2/zerrabarbt/einwarft/verfahrs/
drw-r--rw- news/news         0 unit1exercise2/zerrabarbt/einwarft/aufgetritts/
drwx------ student/news      0 unit1exercise2/einfahren/
drwx---rwx news/tape         0 unit1exercise2/angetrauer/ensetzkeit/aufhalttete/
drwxr-x-w- uucp/proxy        0 unit1exercise2/einfahren/angesinnte/
drwxrwx-wx lp/uucp           0 unit1exercise2/zerrabarbt/einwarft/
drwxrwxr-x student/student   0 unit1exercise2/
