d---rwxrwx lp/student        0 unit1exercise3/angerabarbse/
d--S--x-wx nobody/cdrom      0 unit1exercise3/aufrabarbse/
d--S-wx-wx uucp/cdrom        0 unit1exercise3/besinnen/ensitzse/enschmeckst/
d--Srw---x news/audio        0 unit1exercise3/besprachung/angekatzete/aufkaeste/
d--xr-x--x mail/mail         0 unit1exercise3/angerabarbse/aushunden/aufgegehse/
d--xrwxr-x lp/uucp           0 unit1exercise3/besinnen/ensitzse/
d-wS----w- mail/dip          0 unit1exercise3/angewitztest/aufschmeckung/
d-wS--x--x games/uucp        0 unit1exercise3/besprachung/angekatzete/
d-wxr-x--- mail/cdrom        0 unit1exercise3/angewitztest/
d-wxr-xrwx proxy/uucp        0 unit1exercise3/zerrabarbs/getrittung/zerrauchheit/
d-wxrw-r-- uucp/cdrom        0 unit1exercise3/angerabarbse/aushunden/
dr--r--rw- news/audio        0 unit1exercise3/besprachung/
dr-s----wx student/audio     0 unit1exercise3/zerrabarbs/getrittung/
dr-x-wx-w- games/mail        0 unit1exercise3/besinnen/ensitzse/ensetzst/
dr-x-wx-wx lp/fax            0 unit1exercise3/betrittst/
drw---xr-x proxy/uucp        0 unit1exercise3/besinnen/ensitzse/gesetzen/
drwS--xrwx mail/cdrom        0 unit1exercise3/zerrabarbs/
drwsr--rwx mail/floppy       0 unit1exercise3/besprachung/angekatzete/enkrautete/
drwsr-x-wx proxy/audio       0 unit1exercise3/anrabarbtete/
drwx--x--- lp/cdrom          0 unit1exercise3/besinnen/
drwxrwxr-x student/student   0 unit1exercise3/
