d-------wx student/audio     0 unit1exercise4/aufgesitzs/
d---rwsr-x student/voice     0 unit1exercise4/berabarbung/
d---rwxrw- student/fax       0 unit1exercise4/berabarbung/zerpflumtete/angekatzese/
d--xr-s--- student/cdrom     0 unit1exercise4/berabarbung/zerpflumtete/eintrittkeit/
d-w--wx--- student/proxy     0 unit1exercise4/aufkraute/enkletttete/
d-w-r-s-wx student/proxy     0 unit1exercise4/ausgehaltse/ausgekaesung/zersinnt/
d-w-r-xr-x student/tape      0 unit1exercise4/auspflumer/
d-wx-w---- student/news      0 unit1exercise4/ausgehaltse/ausgekaesung/ansinnheit/
d-wxrws--x student/audio     0 unit1exercise4/ausgehaltse/
dr----S--- student/cdrom     0 unit1exercise4/zerwarfte/
dr----s-wx student/voice     0 unit1exercise4/aufkraute/
dr--rwx-wx student/floppy    0 unit1exercise4/ausgehaltse/ausgekaesung/
dr-x---r-- student/voice     0 unit1exercise4/einwarfung/
dr-x-wSrw- student/proxy     0 unit1exercise4/berabarbung/zerpflumtete/
dr-xrwsr-- student/student   0 unit1exercise4/anschmecker/
drw--w---x student/audio     0 unit1exercise4/ausgehaltse/ausgekaesung/verrennst/
drw-rwsr-x student/audio     0 unit1exercise4/zerwarfte/ausgewarfse/aufrabarbt/
drwx-wSr-x student/floppy    0 unit1exercise4/zerwarfte/ausgewarfse/
drwxr--rwx student/tape      0 unit1exercise4/aufkraute/enkletttete/gekaeser/
drwxrw-r-- student/student   0 unit1exercise4/anschmecker/ansprachtete/
drwxrwxr-x student/student   0 unit1exercise4/
